country,date,sector,value,timestamp
India,9/1/2019,Power,3.47215,1546963200
Italy,9/1/2019,Power,0.364173,1546963200
Japan,9/1/2019,Power,1.88496,1546963200
ROW,9/1/2019,Power,12.4484,1546963200
Russia,9/1/2019,Power,2.92599,1546963200
Spain,9/1/2019,Power,0.177026,1546963200
UK,9/1/2019,Power,0.331572,1546963200
US,9/1/2019,Power,4.33347,1546963200
WORLD,9/1/2019,Power,43.5615,1546963200
Brazil,10/1/2019,Power,0.120424,1547049600
China,10/1/2019,Power,15.1455,1547049600
EU27 & UK,10/1/2019,Power,3.9212,1547049600
France,10/1/2019,Power,0.15182,1547049600
Germany,10/1/2019,Power,1.04471,1547049600
India,10/1/2019,Power,3.48294,1547049600
Italy,10/1/2019,Power,0.366405,1547049600
Japan,10/1/2019,Power,1.9733,1547049600
ROW,10/1/2019,Power,13.4817,1547049600
Russia,10/1/2019,Power,2.98074,1547049600
Spain,10/1/2019,Power,0.176588,1547049600
UK,10/1/2019,Power,0.375012,1547049600
US,10/1/2019,Power,4.82724,1547049600
WORLD,10/1/2019,Power,45.9331,1547049600
Brazil,11/1/2019,Power,0.118851,1547136000
China,11/1/2019,Power,15.2308,1547136000
EU27 & UK,11/1/2019,Power,3.68921,1547136000
France,11/1/2019,Power,0.157934,1547136000
Germany,11/1/2019,Power,0.953231,1547136000
India,11/1/2019,Power,3.52972,1547136000
Italy,11/1/2019,Power,0.394724,1547136000
Japan,11/1/2019,Power,1.8936,1547136000
ROW,11/1/2019,Power,13.0571,1547136000
Russia,11/1/2019,Power,2.99128,1547136000
Spain,11/1/2019,Power,0.189747,1547136000
UK,11/1/2019,Power,0.332592,1547136000
US,11/1/2019,Power,4.95906,1547136000
WORLD,11/1/2019,Power,45.4696,1547136000
Brazil,12/1/2019,Power,0.125484,1547222400
China,12/1/2019,Power,14.8271,1547222400
EU27 & UK,12/1/2019,Power,2.57574,1547222400
France,12/1/2019,Power,0.129943,1547222400
Germany,12/1/2019,Power,0.624668,1547222400
India,12/1/2019,Power,3.50813,1547222400
Italy,12/1/2019,Power,0.281727,1547222400
Japan,12/1/2019,Power,1.78522,1547222400
ROW,12/1/2019,Power,11.6543,1547222400
Russia,12/1/2019,Power,2.91859,1547222400
Spain,12/1/2019,Power,0.15243,1547222400
UK,12/1/2019,Power,0.147407,1547222400
US,12/1/2019,Power,4.5774,1547222400
WORLD,12/1/2019,Power,41.9719,1547222400
Brazil,13/01/2019,Power,0.107183,1547308800
China,13/01/2019,Power,14.3616,1547308800
EU27 & UK,13/01/2019,Power,1.93349,1547308800
France,13/01/2019,Power,0.061937,1547308800
Germany,13/01/2019,Power,0.392351,1547308800
India,13/01/2019,Power,3.33182,1547308800
Italy,13/01/2019,Power,0.241296,1547308800
Japan,13/01/2019,Power,1.56039,1547308800
ROW,13/01/2019,Power,10.4239,1547308800
Russia,13/01/2019,Power,2.81131,1547308800
Spain,13/01/2019,Power,0.144211,1547308800
UK,13/01/2019,Power,0.126868,1547308800
US,13/01/2019,Power,4.83617,1547308800
WORLD,13/01/2019,Power,39.3659,1547308800
Brazil,14/01/2019,Power,0.1445,1547395200
China,14/01/2019,Power,14.355,1547395200
EU27 & UK,14/01/2019,Power,2.83323,1547395200
France,14/01/2019,Power,0.122763,1547395200
Germany,14/01/2019,Power,0.592366,1547395200
India,14/01/2019,Power,3.24067,1547395200
Italy,14/01/2019,Power,0.325518,1547395200
Japan,14/01/2019,Power,1.64795,1547395200
ROW,14/01/2019,Power,11.6334,1547395200
Russia,14/01/2019,Power,2.8311,1547395200
Spain,14/01/2019,Power,0.208216,1547395200
UK,14/01/2019,Power,0.287997,1547395200
US,14/01/2019,Power,5.38965,1547395200
WORLD,14/01/2019,Power,42.0755,1547395200
Brazil,15/01/2019,Power,0.143329,1547481600
China,15/01/2019,Power,14.2126,1547481600
EU27 & UK,15/01/2019,Power,3.05678,1547481600
France,15/01/2019,Power,0.14605,1547481600
Germany,15/01/2019,Power,0.70674,1547481600
India,15/01/2019,Power,3.32103,1547481600
Italy,15/01/2019,Power,0.352303,1547481600
Japan,15/01/2019,Power,1.91368,1547481600
ROW,15/01/2019,Power,12.7351,1547481600
Russia,15/01/2019,Power,2.76514,1547481600
Spain,15/01/2019,Power,0.251066,1547481600
UK,15/01/2019,Power,0.239615,1547481600
US,15/01/2019,Power,5.34977,1547481600
WORLD,15/01/2019,Power,43.4974,1547481600
Brazil,16/01/2019,Power,0.162147,1547568000
China,16/01/2019,Power,14.4946,1547568000
EU27 & UK,16/01/2019,Power,3.17823,1547568000
France,16/01/2019,Power,0.148735,1547568000
Germany,16/01/2019,Power,0.740861,1547568000
India,16/01/2019,Power,3.40258,1547568000
Italy,16/01/2019,Power,0.384533,1547568000
Japan,16/01/2019,Power,1.86374,1547568000
ROW,16/01/2019,Power,12.609,1547568000
Russia,16/01/2019,Power,2.799,1547568000
Spain,16/01/2019,Power,0.252486,1547568000
UK,16/01/2019,Power,0.256772,1547568000
US,16/01/2019,Power,5.28107,1547568000
WORLD,16/01/2019,Power,43.7903,1547568000
Brazil,17/01/2019,Power,0.16607,1547654400
China,17/01/2019,Power,14.4056,1547654400
EU27 & UK,17/01/2019,Power,3.31448,1547654400
France,17/01/2019,Power,0.144641,1547654400
Germany,17/01/2019,Power,0.771995,1547654400
India,17/01/2019,Power,3.41937,1547654400
Italy,17/01/2019,Power,0.385411,1547654400
Japan,17/01/2019,Power,1.85382,1547654400
ROW,17/01/2019,Power,12.6485,1547654400
Russia,17/01/2019,Power,2.84802,1547654400
Spain,17/01/2019,Power,0.234711,1547654400
