,country,sector,value,timestamp,year,month,day
104,Italy,Power,0.383874,1546876800,2019,1,8
105,Japan,Power,1.8450900000000001,1546876800,2019,1,8
106,ROW,Power,11.755,1546876800,2019,1,8
107,Russia,Power,2.9217400000000002,1546876800,2019,1,8
108,Spain,Power,0.19630899999999998,1546876800,2019,1,8
109,UK,Power,0.219729,1546876800,2019,1,8
110,US,Power,3.79166,1546876800,2019,1,8
111,WORLD,Power,41.4651,1546876800,2019,1,8
112,Brazil,Power,0.11763,1546963200,2019,1,9
113,China,Power,15.1746,1546963200,2019,1,9
114,EU27 & UK,Power,3.20433,1546963200,2019,1,9
115,France,Power,0.126806,1546963200,2019,1,9
116,Germany,Power,0.714889,1546963200,2019,1,9
117,India,Power,3.47215,1546963200,2019,1,9
118,Italy,Power,0.364173,1546963200,2019,1,9
119,Japan,Power,1.8849599999999997,1546963200,2019,1,9
120,ROW,Power,12.4484,1546963200,2019,1,9
121,Russia,Power,2.92599,1546963200,2019,1,9
122,Spain,Power,0.177026,1546963200,2019,1,9
123,UK,Power,0.331572,1546963200,2019,1,9
124,US,Power,4.333469999999999,1546963200,2019,1,9
125,WORLD,Power,43.5615,1546963200,2019,1,9
126,Brazil,Power,0.120424,1547049600,2019,1,10
127,China,Power,15.1455,1547049600,2019,1,10
128,EU27 & UK,Power,3.9212,1547049600,2019,1,10
129,France,Power,0.15182,1547049600,2019,1,10
130,Germany,Power,1.04471,1547049600,2019,1,10
131,India,Power,3.48294,1547049600,2019,1,10
132,Italy,Power,0.36640500000000004,1547049600,2019,1,10
133,Japan,Power,1.9733,1547049600,2019,1,10
134,ROW,Power,13.4817,1547049600,2019,1,10
135,Russia,Power,2.98074,1547049600,2019,1,10
136,Spain,Power,0.17658800000000002,1547049600,2019,1,10
137,UK,Power,0.375012,1547049600,2019,1,10
138,US,Power,4.82724,1547049600,2019,1,10
139,WORLD,Power,45.9331,1547049600,2019,1,10
140,Brazil,Power,0.118851,1547136000,2019,1,11
141,China,Power,15.2308,1547136000,2019,1,11
142,EU27 & UK,Power,3.6892099999999997,1547136000,2019,1,11
143,France,Power,0.157934,1547136000,2019,1,11
144,Germany,Power,0.9532309999999999,1547136000,2019,1,11
145,India,Power,3.5297199999999997,1547136000,2019,1,11
146,Italy,Power,0.39472399999999996,1547136000,2019,1,11
147,Japan,Power,1.8936,1547136000,2019,1,11
148,ROW,Power,13.0571,1547136000,2019,1,11
149,Russia,Power,2.9912799999999997,1547136000,2019,1,11
150,Spain,Power,0.189747,1547136000,2019,1,11
151,UK,Power,0.332592,1547136000,2019,1,11
152,US,Power,4.95906,1547136000,2019,1,11
153,WORLD,Power,45.4696,1547136000,2019,1,11
